id	rate
1001	0
1003	0
1005	0
1007	0
1009	0
1011	0
1013	0
1015	0
1017	0
1019	0
1021	0
1023	0
1025	0
1027	0
1029	0
1031	0
1033	0
1035	0
1037	0
1039	0
1041	0
1043	0
1045	0
1047	0
1049	0
1051	0
1053	0
1055	0
1057	0
1059	0
1061	0
1063	0
1065	0
1067	0
1069	0
1071	0
1073	0
1075	0
1077	0
1079	0
1081	0
1083	0
1085	0
1087	0
1089	0
1091	0
1093	0
1095	0
1097	0
1099	0
1101	0
1103	0
1105	0
1107	0
1109	0
1111	0
1113	0
1115	0
1117	0
1119	0
1121	0
1123	0
1125	0
1127	0
1129	0
1131	0
1133	0
2013	0
2016	0
2020	0
2050	0
2060	0
2068	0
2070	0
2090	0
2100	0
2110	0
2122	0
2130	0
2150	0
2164	0
2170	0
2180	0
2185	0
2188	0
2201	0
2220	0
2232	0
2240	0
2261	0
2270	0
2280	0
2282	0
2290	0
4001	0
4003	0
4005	0
4007	0
4009	0
4011	0
4012	0
4013	0
4015	0
4017	0
4019	0
4021	0
4023	0
4025	0
4027	0
5001	0
5003	0
5005	0
5007	0
5009	0
5011	0
5013	0
5015	0
5017	0
5019	0
5021	0
5023	0
5025	0
5027	0
5029	0
5031	0
5033	0
5035	0
5037	0
5039	0
5041	0
5043	0
5045	0
5047	0
5049	0
5051	0
5053	0
5055	0
5057	0
5059	0
5061	0
5063	0
5065	0
5067	0
5069	0
5071	0
5073	0
5075	0
5077	0
5079	0
5081	0
5083	0
5085	0
5087	0
5089	0
5091	0
5093	0
5095	0
5097	0
5099	0
5101	0
5103	0
5105	0
5107	0
5109	0
5111	0
5113	0
5115	0
5117	0
5119	0
5121	0
5123	0
5125	0
5127	0
5129	0
5131	0
5133	0
5135	0
5137	0
5139	0
5141	0
5143	0
5145	0
5147	0
5149	0
6001	0
6003	0
6005	0
6007	0
6009	0
6011	0
6013	0
6015	0
6017	0
6019	0
6021	0
6023	0
6025	0
6027	0
6029	0
6031	0
6033	0
6035	0
6037	0
6039	0
6041	0
6043	0
6045	0
6047	0
6049	0
6051	0
6053	0
6055	0
6057	0
6059	0
6061	0
6063	0
6065	0
6067	0
6069	0
6071	0
6073	0
6075	0
6077	0
6079	0
6081	0
6083	0
6085	0
6087	0
6089	0
6091	0
6093	0
6095	0
6097	0
6099	0
6101	0
6103	0
6105	0
6107	0
6109	0
6111	0
6113	0
6115	0
8001	0
8003	0
8005	0
8007	0
8009	0
8011	0
8013	0
8014	0
8015	0
8017	0
8019	0
8021	0
8023	0
8025	0
8027	0
8029	0
8031	0
8033	0
8035	0
8037	0
8039	0
8041	0
8043	0
8045	0
8047	0
8049	0
8051	0
8053	0
8055	0
8057	0
8059	0
8061	0
8063	0
8065	0
8067	0
8069	0
8071	0
8073	0
8075	0
8077	0
8079	0
8081	0
8083	0
8085	0
8087	0
8089	0
8091	0
8093	0
8095	0
8097	0
8099	0
8101	0
8103	0
8105	0
8107	0
8109	0
8111	0
8113	0
8115	0
8117	0
8119	0
8121	0
8123	0
8125	0
9001	0
9003	0
9005	0
9007	0
9009	0
9011	0
9013	0
9015	0
10001	0
10003	0
10005	0
11001	0
12001	0
12003	0
12005	0
12007	0
12009	0
12011	0
12013	0
12015	0
12017	0
12019	0
12021	0
12023	0
12027	0
12029	0
12031	0
12033	0
12035	0
12037	0
12039	0
12041	0
12043	0
12045	0
12047	0
12049	0
12051	0
12053	0
12055	0
12057	0
12059	0
12061	0
12063	0
12065	0
12067	0
12069	0
12071	0
12073	0
12075	0
12077	0
12079	0
12081	0
12083	0
12085	0
12086	0
12087	0
12089	0
12091	0
12093	0
12095	0
12097	0
12099	0
12101	0
12103	0
12105	0
12107	0
12109	0
12111	0
12113	0
12115	0
12117	0
12119	0
12121	0
12123	0
12125	0
12127	0
12129	0
12131	0
12133	0
13001	0
13003	0
13005	0
13007	0
13009	0
13011	0
13013	0
13015	0
13017	0
13019	0
13021	0
